"January 21, 1996", JDK 1.0, The first public release
"February 19, 1997", JDK 1.1, "JavaBeans, JDBC, RMI, reflection"
"December 8, 1998", J2SE 1.2, "Swing, Collections framework"
"May 8, 2000", J2SE 1.3, "RMI, JNDI, JPDA"
"February 6, 2002", J2SE 1.4, "Regular expressons, XML parsers"
"September 30, 2004", J2SE 5.0, "Generics, Enumetrators, Varargs"
